iter	Passed	Remaining
0	0	423
1	0	410
2	1	439
3	1	451
4	2	460
5	2	456
6	3	467
7	3	467
8	4	484
9	4	483
10	5	480
11	5	478
12	6	482
13	6	476
14	7	475
15	7	473
16	8	473
17	8	488
18	9	484
19	9	483
20	10	482
21	10	480
22	11	476
23	11	477
24	12	483
25	13	492
26	13	492
27	14	490
28	14	491
29	15	504
30	16	508
31	16	509
32	17	509
33	17	507
34	18	511
35	19	512
36	19	513
37	20	512
38	20	516
39	21	516
40	22	520
41	22	518
42	23	516
43	23	513
44	24	512
45	24	511
46	25	508
47	25	508
48	26	508
49	26	507
50	27	508
51	27	507
52	28	505
53	28	504
54	29	504
55	29	503
56	30	502
57	30	500
58	31	497
59	31	494
60	32	495
61	32	496
62	33	495
63	33	494
64	34	494
65	34	494
66	35	494
67	35	493
68	36	491
69	36	490
70	37	492
71	38	491
72	38	492
73	39	491
74	39	489
75	40	487
76	40	485
77	41	487
78	41	486
79	42	485
80	42	484
81	43	483
82	43	482
83	44	482
84	44	481
85	45	482
86	45	481
87	46	481
88	46	480
89	47	480
90	48	480
91	48	481
92	49	481
93	49	480
94	50	480
95	50	479
96	51	477
97	51	475
98	52	474
99	52	474
100	53	474
101	53	474
102	54	475
103	54	473
104	55	472
105	56	472
106	56	471
107	57	471
108	57	470
109	58	470
110	58	469
111	59	469
112	59	468
113	60	466
114	60	467
115	61	465
116	61	465
117	62	465
118	62	464
119	63	464
120	63	463
121	64	463
122	65	463
123	65	463
124	66	464
125	67	466
126	67	465
127	68	465
128	68	464
129	69	463
130	69	463
131	70	463
132	71	463
133	71	462
134	72	462
135	72	461
136	73	461
137	73	461
138	74	461
139	74	460
140	75	460
141	76	459
142	76	459
143	77	458
144	77	458
145	78	457
146	78	456
147	79	456
148	79	455
149	80	455
150	80	454
151	81	454
152	81	453
153	82	453
154	83	452
155	83	451
156	84	451
157	84	451
158	85	451
159	85	449
160	86	448
161	86	447
162	87	446
163	87	446
164	88	446
165	88	446
166	89	445
167	89	444
168	90	443
169	90	443
170	91	443
171	91	442
172	92	442
173	92	441
174	93	440
175	93	439
176	94	438
177	94	437
178	95	437
179	95	436
180	96	435
181	96	434
182	97	434
183	97	434
184	98	433
185	98	432
186	99	431
187	99	431
188	100	431
189	100	430
190	101	430
191	102	429
192	102	429
193	103	428
194	103	428
195	104	427
196	104	427
197	105	426
198	105	425
199	106	424
200	106	424
201	107	423
202	108	424
203	108	423
204	108	422
205	109	422
206	109	421
207	110	420
208	111	420
209	112	421
210	112	421
211	113	421
212	113	420
213	114	419
214	114	418
215	115	417
216	115	416
217	116	416
218	116	416
219	117	414
220	117	414
221	118	413
222	118	413
223	119	412
224	119	412
225	120	411
226	120	411
227	121	410
228	121	410
229	122	409
230	123	409
231	123	408
232	123	408
233	124	408
234	125	407
235	125	407
236	126	406
237	126	405
238	127	405
239	127	405
240	128	404
241	128	403
242	129	402
243	129	401
244	130	401
245	130	400
246	131	399
247	132	400
248	132	400
249	133	400
250	133	399
251	134	399
252	135	399
253	135	399
254	136	398
255	137	398
256	137	397
257	138	397
258	138	397
259	139	396
260	139	395
261	140	395
262	140	394
263	141	393
264	141	393
265	142	392
266	142	391
267	143	391
268	143	390
269	144	389
270	144	389
271	145	388
272	145	387
273	146	387
274	146	386
275	147	385
276	147	385
277	148	386
278	149	386
279	149	385
280	150	384
281	150	383
282	151	383
283	151	383
284	152	383
285	153	383
286	154	382
287	154	381
288	154	381
289	155	380
290	155	380
291	157	380
292	157	380
293	158	379
294	158	378
295	159	378
296	159	377
297	159	376
298	160	375
299	160	375
300	161	374
301	161	373
302	162	373
303	162	372
304	163	372
305	163	371
306	164	371
307	164	370
308	165	369
309	165	369
310	166	368
311	167	368
312	167	368
313	168	367
314	168	366
315	169	366
316	169	365
317	170	364
318	170	364
319	171	363
320	171	363
321	172	362
322	173	363
323	173	362
324	174	362
325	175	362
326	175	361
327	176	361
328	176	360
329	177	359
330	177	359
331	178	358
332	178	357
333	179	357
334	179	356
335	180	355
336	180	355
337	181	354
338	181	354
339	182	353
340	183	354
341	183	353
342	184	352
343	184	352
344	185	351
345	185	351
346	186	350
347	186	349
348	187	349
349	187	348
350	188	347
351	188	347
352	189	346
353	189	346
354	190	345
355	190	345
356	191	344
357	191	343
358	192	343
359	192	342
360	193	342
361	194	342
362	194	341
363	195	340
364	195	340
365	196	339
366	196	339
367	197	339
368	197	338
369	198	337
370	198	336
371	199	336
372	199	335
373	200	335
374	201	335
375	201	334
376	202	334
377	202	333
378	203	333
379	204	333
380	205	333
381	206	333
382	206	332
383	207	332
384	207	331
385	208	330
386	208	330
387	209	329
388	209	329
389	210	329
390	211	328
391	211	328
392	212	327
393	213	327
394	213	327
395	214	326
396	214	326
397	215	325
398	215	324
399	215	323
400	216	323
401	216	322
402	217	322
403	218	322
404	219	322
405	219	321
406	220	320
407	220	320
408	221	320
409	221	319
410	222	318
411	223	318
412	223	317
413	223	317
414	224	316
415	225	316
416	226	316
417	227	316
418	228	316
419	228	316
420	229	315
421	230	315
422	230	314
423	231	314
424	231	313
425	232	312
426	233	313
427	233	312
428	234	311
429	234	311
430	235	310
431	236	311
432	237	310
433	237	310
434	238	309
435	238	308
436	239	308
437	239	307
438	240	307
439	240	306
440	241	305
441	241	305
442	242	304
443	243	304
444	243	303
445	244	303
446	244	302
447	245	302
448	245	301
449	246	301
450	246	300
451	247	299
452	247	299
453	248	298
454	248	298
455	249	297
456	250	297
457	250	296
458	251	295
459	251	295
460	252	294
461	252	294
462	253	294
463	254	293
464	254	293
465	255	292
466	255	291
467	256	291
468	256	290
469	257	290
470	258	289
